Water.Soil.Ratio,Sample.ID,Study,Sample.Number,DNA.Extr.MicropH.MoBio,Lab.CO2.MicropH,High.CO2.MicropH,Tube.Empty.g,Moist.Soil.g,Water.Added.mL,Tube.Dry.Soil.g,Dry.Soil.g,Soil.Water.Content.mass,Target.Water.Soil.ratio,Real.Water.Soil.ratio,Error.Water.Soil.ratio,Perc.Sand,Perc.Silt,Perc.Clay,Texture.Name,OM.perc,Scoop.Density.g.4.24.cc,Soil.pH,Sikora.pH,Total.N.perc,Total.Org.C.perc,Bray.1.P.ppm,K.ppm,K.perc.CEC,AmmAcet.Ca.ppm,Ca.perc.CEC,Mg.ppm,Mg.perc.CEC,Na.ppm,Na.perc.CEC,Est.Acidity.Hplus.meq.100g,Hplus.perc.CEC,CEC.summation.meq.100g,Date.of.Collection,Station.Name,St.pH.WSS,Site.Number,Upper.Depth.cm,Lower.Depth.cm
1-to-2,35-A249-0-35,Wisconsin,35,,7.07,7.28,1.058,1.046,0.523,1.906,0.848,0.189,0.5,0.617,-0.117,11.2,65.2,23.6,Silt Loam,3.6,4.07,7.2,7.3,0.21,2.23,28,78,2,1785,98,505,45,,0,0,0,10,8/31/2018,Arlington,6.5,249,0,35
1-to-2,36-A249-35-60,Wisconsin,36,,6.85,7.25,1.053,1.052,0.526,1.907,0.854,0.188,0.5,0.616,-0.116,1.2,67.6,31.2,Silty Clay Loam,1.7,4.42,7.3,7.2,0.15,0.7,13,68,2,1722,98,667,62,,0,0,0,8,8/31/2018,Arlington,6.5,249,35,60
1-to-2,37-A341-0-33,Wisconsin,37,,6.93,7.31,1.07,0.985,0.493,1.871,0.801,0.187,0.5,0.615,-0.115,25.2,51.6,23.2,Silt Loam,3.5,4.41,7.4,7.3,0.22,2.7,32,76,2,2014,98,527,42,,0,0,0,10,8/31/2018,Arlington,6.5,341,0,33
1-to-2,38-A341-33-55,Wisconsin,38,,7.43,7.45,1.015,1.038,0.519,1.792,0.777,0.251,0.5,0.668,-0.168,9.2,61.6,29.2,Silty Clay Loam,4.6,3.61,7.3,7.1,0.26,3.02,35,34,1,2071,99,530,42,,0,0,0,12,8/31/2018,Arlington,6.5,341,33,55
1-to-2,39-A341-55-75,Wisconsin,39,,7.05,7.21,1.058,1.046,0.523,1.856,0.798,0.237,0.5,0.655,-0.155,5.2,65.6,29.2,Silty Clay Loam,3.3,3.9,7.2,7.1,0.21,2.02,28,37,1,1652,99,514,50,,0,0,0,9,8/31/2018,Arlington,6.5,341,55,75
1-to-2,40-A341-75-85,Wisconsin,40,,7.01,7.19,1.061,1.056,0.528,1.897,0.836,0.208,0.5,0.632,-0.132,5.2,71.6,23.2,Silt Loam,1.7,4.3,7.2,7.1,0.1,0.83,9,39,2,980,98,574,94,,0,0,0,5,8/31/2018,Arlington,6.5,341,75,85
1-to-2,41-L2-0-23,Wisconsin,41,,6.64,7.01,1.059,0.986,0.493,1.844,0.785,0.204,0.5,0.628,-0.128,9.2,73.6,17.2,Silt Loam,2.6,4.17,7,7.3,0.22,1.71,14,72,3,1288,97,347,43,,0,0,0,7,8/30/2018,Lancaster,6.6,2,0,23
1-to-2,42-L2-23-45,Wisconsin,42,,7.02,7.31,1.049,1.039,0.52,1.889,0.84,0.192,0.5,0.618,-0.118,3.2,71.6,25.2,Silt Loam,1.3,4.53,7.3,7.3,0.13,0.55,9,62,2,1330,98,444,53,,0,0,0,6,8/30/2018,Lancaster,6.6,2,23,45
1-to-2,43-L3-0-12,Wisconsin,43,,6.4,6.56,1.063,1.04,0.52,1.905,0.842,0.19,0.5,0.618,-0.118,7.2,67.6,25.2,Silt,2.8,4.28,6.5,7.1,0.15,1.58,17,116,4,1502,96,470,49,,0,0,0,8,8/30/2018,Lancaster,6.6,3,0,12
1-to-2,44-L3-12-20,Wisconsin,44,,6.37,6.72,1.058,1.007,0.504,1.875,0.817,0.189,0.5,0.616,-0.116,5.2,65.6,29.2,Silty Clay Loam,2,4.42,6.7,7.1,0.14,0.82,10,78,2,1617,98,545,54,,0,0,0,8,8/30/2018,Lancaster,6.6,3,12,20
1-to-2,45-L3-20-40,Wisconsin,45,,6.33,6.61,1.063,0.975,0.488,1.866,0.803,0.176,0.5,0.607,-0.107,3.2,61.6,35.2,Silty Clay Loam,1.5,4.42,6.8,7,0.13,0.48,22,100,3,1984,97,723,58,,0,0,0,10,8/30/2018,Lancaster,6.6,3,20,40
1-to-2,46-L4-0-10,Wisconsin,46,,6.35,6.22,1.063,0.979,0.49,1.817,0.754,0.23,0.5,0.649,-0.149,9.2,71.6,19.2,Silt Loam,3.1,4.01,6.2,6.9,0.2,1.94,10,58,2,1193,87,264,32,,0,0.7,11,7,8/30/2018,Lancaster,6.6,4,0,10
